,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
0,Auvergne-Rhône-Alpes,2020-02-15,5.8,3.0,46.1,38.4,2.5,-0.9
1,Auvergne-Rhône-Alpes,2020-02-16,16.4,11.7,35.6,20.6,1.0,-0.3
2,Auvergne-Rhône-Alpes,2020-02-17,1.9,6.2,16.2,10.4,0.9,1.9
3,Auvergne-Rhône-Alpes,2020-02-18,8.6,6.1,44.8,12.1,1.7,0.5
4,Auvergne-Rhône-Alpes,2020-02-19,0.5,2.2,17.8,7.6,0.9,1.1
5,Auvergne-Rhône-Alpes,2020-02-20,7.0,4.1,46.9,15.1,0.4,0.0
6,Auvergne-Rhône-Alpes,2020-02-21,6.9,4.9,37.0,26.2,0.7,-0.2
7,Auvergne-Rhône-Alpes,2020-02-22,1.8,3.5,57.2,51.6,0.2,-0.8
8,Auvergne-Rhône-Alpes,2020-02-23,28.3,21.0,91.7,29.5,2.9,-2.8
9,Auvergne-Rhône-Alpes,2020-02-24,11.5,8.5,91.5,7.3,-19.0,3.2
10,Auvergne-Rhône-Alpes,2020-02-25,8.0,8.5,36.5,1.7,-18.3,4.5
11,Auvergne-Rhône-Alpes,2020-02-26,-2.6,0.3,11.5,-3.4,-15.9,3.3
12,Auvergne-Rhône-Alpes,2020-02-27,0.4,4.1,3.4,-5.2,-19.8,5.5
13,Auvergne-Rhône-Alpes,2020-02-28,3.5,4.8,35.8,4.1,-19.4,4.3
14,Auvergne-Rhône-Alpes,2020-02-29,-9.5,-0.7,-10.1,12.5,-4.7,1.4
15,Auvergne-Rhône-Alpes,2020-03-01,8.9,8.7,3.8,10.4,2.8,-1.3
16,Auvergne-Rhône-Alpes,2020-03-02,-4.9,2.5,-14.0,-13.8,-22.2,6.5
17,Auvergne-Rhône-Alpes,2020-03-03,2.9,5.3,22.8,-7.7,-20.1,4.8
18,Auvergne-Rhône-Alpes,2020-03-04,-2.5,0.2,16.7,-6.7,-16.5,2.6
19,Auvergne-Rhône-Alpes,2020-03-05,-3.3,1.5,-19.8,-13.9,-21.0,6.0
20,Auvergne-Rhône-Alpes,2020-03-06,-2.5,0.8,4.6,-8.0,-20.6,5.4
21,Auvergne-Rhône-Alpes,2020-03-07,-5.5,-1.2,3.0,5.8,-3.9,0.9
22,Auvergne-Rhône-Alpes,2020-03-08,11.7,8.5,35.9,15.1,2.2,-0.7
23,Auvergne-Rhône-Alpes,2020-03-09,-2.7,4.0,-0.3,1.5,0.5,1.6
24,Auvergne-Rhône-Alpes,2020-03-10,-2.6,2.8,1.1,-0.4,0.5,1.6
25,Auvergne-Rhône-Alpes,2020-03-11,-0.3,1.7,32.9,4.5,1.2,0.4
26,Auvergne-Rhône-Alpes,2020-03-12,-2.8,5.8,9.5,1.9,0.5,1.1
27,Auvergne-Rhône-Alpes,2020-03-13,-3.6,20.8,9.1,2.8,0.2,1.6
28,Auvergne-Rhône-Alpes,2020-03-14,-16.1,0.0,24.5,1.1,-2.9,3.8
29,Auvergne-Rhône-Alpes,2020-03-15,-27.9,25.1,33.3,-2.7,-4.1,2.5
30,Auvergne-Rhône-Alpes,2020-03-16,-41.6,43.6,-5.4,-24.7,-30.8,12.3
31,Auvergne-Rhône-Alpes,2020-03-17,-65.8,-17.7,-27.4,-40.6,-49.5,22.1
32,Auvergne-Rhône-Alpes,2020-03-18,-81.9,-48.5,-43.8,-68.3,-62.7,27.3
33,Auvergne-Rhône-Alpes,2020-03-19,-81.5,-42.9,-49.8,-74.3,-67.1,31.5
34,Auvergne-Rhône-Alpes,2020-03-20,-83.4,-43.5,-55.8,-79.2,-67.6,35.2
35,Auvergne-Rhône-Alpes,2020-03-21,-88.0,-57.9,-69.5,-79.9,-55.5,22.9
36,Auvergne-Rhône-Alpes,2020-03-22,-84.5,-61.7,-73.4,-71.4,-53.1,15.8
37,Auvergne-Rhône-Alpes,2020-03-23,-81.2,-43.3,-58.5,-80.0,-69.8,31.6
38,Auvergne-Rhône-Alpes,2020-03-24,-82.3,-46.4,-58.0,-78.3,-71.0,33.2
39,Auvergne-Rhône-Alpes,2020-03-25,-84.2,-51.2,-60.5,-78.6,-69.8,30.7
40,Auvergne-Rhône-Alpes,2020-03-26,-83.4,-47.8,-61.5,-80.5,-70.8,33.8
41,Auvergne-Rhône-Alpes,2020-03-27,-83.9,-47.9,-61.4,-82.6,-70.0,36.5
42,Auvergne-Rhône-Alpes,2020-03-28,-87.8,-60.1,-69.6,-82.8,-56.5,23.0
43,Auvergne-Rhône-Alpes,2020-03-29,-86.3,-69.4,-76.8,-68.0,-54.8,16.0
44,Auvergne-Rhône-Alpes,2020-03-30,-84.2,-50.8,-61.9,-82.5,-70.5,32.4
45,Auvergne-Rhône-Alpes,2020-03-31,-89.1,-44.2,-52.3,-77.5,-70.2,32.6
46,Auvergne-Rhône-Alpes,2020-04-01,-89.8,-47.2,-52.8,-76.6,-67.5,29.6
47,Auvergne-Rhône-Alpes,2020-04-02,-88.8,-42.6,-54.5,-78.1,-69.3,32.8
48,Auvergne-Rhône-Alpes,2020-04-03,-85.4,-42.3,-57.8,-80.6,-68.3,35.6
49,Auvergne-Rhône-Alpes,2020-04-04,-88.7,-53.2,-66.4,-80.3,-54.8,22.4
50,Auvergne-Rhône-Alpes,2020-04-05,-83.8,-61.9,-64.8,-70.5,-50.4,16.4
51,Auvergne-Rhône-Alpes,2020-04-06,-82.8,-40.9,-50.8,-76.7,-67.9,30.5
52,Auvergne-Rhône-Alpes,2020-04-07,-81.2,-39.2,-50.8,-75.2,-68.1,31.4
53,Auvergne-Rhône-Alpes,2020-04-08,-82.5,-42.4,-53.8,-76.1,-66.0,28.1
54,Auvergne-Rhône-Alpes,2020-04-09,-81.5,-37.2,-55.1,-76.8,-67.5,31.1
55,Auvergne-Rhône-Alpes,2020-04-10,-81.1,-35.5,-55.8,-78.3,-67.5,34.2
56,Auvergne-Rhône-Alpes,2020-04-11,-85.3,-46.3,-67.1,-80.5,-52.4,21.5
57,Auvergne-Rhône-Alpes,2020-04-12,-81.0,-58.3,-67.0,-70.2,-47.8,16.2
58,Auvergne-Rhône-Alpes,2020-04-13,-89.9,-81.2,-58.6,-74.2,-87.5,35.1
59,Auvergne-Rhône-Alpes,2020-04-14,-77.4,-27.5,-51.0,-74.2,-65.5,29.8
